,index,college_name,NIRF_RANK,fee,salary,overall_rating,placements_rating,infrastructure_rating,faculty_rating,campus_rating,value_rating,No_of_reviews
86,6,Panjab University (PUCHD),92, ₹ 3.58 Lakh, ₹ 5.00 Lakh ,3.9,3.4,3.6,3.9,4.2,4.1,822
87,7,IIIT Allahabad - Indian Institute of Information Technology,93, ₹ 6.20 Lakh, ₹ 20.00 Lakh ,4.4,4.7,4.4,3.9,4.2,4.6,166
88,8,JIIT - Jaypee Institute of Information Technology,94, ₹ 8.77 Lakh, ₹ 5.00 Lakh ,3.9,3.9,3.9,3.7,4.1,3.7,671
89,9,Rajalakshmi Engineering College,95, ₹ 2.00 Lakh, ₹ 3.00 Lakh ,4.4,4.4,4.3,4.4,4.5,4.3,378
90,10,The NorthCap University,96, ₹ 10.72 Lakh, ₹ 4.00 Lakh ,3.9,3.6,4.3,4.0,4.1,3.6,315
91,11,Siddaganga Institute of Technology,97, ₹ 3.34 Lakh, ₹ 6.00 Lakh ,4.0,4.0,4.1,3.8,4.0,3.9,273
92,12,C. V. Raman Global University,98, ₹ 7.10 Lakh, ₹ 4.70 Lakh ,4.0,3.7,4.2,4.0,4.1,3.8,400
93,13,"Vignan's Foundation for Science, Technology and Research",99, ₹ 10.40 Lakh, ₹ 4.60 Lakh ,4.1,3.9,4.2,4.2,4.4,3.9,481
94,14,PES University,100, ₹ 16.00 Lakh, ₹ 7.30 Lakh ,4.0,4.1,4.0,4.0,3.9,3.9,417
95,15,Shri Mata Vaishno Devi University,101, ₹ 5.28 Lakh, ₹ 3.60 Lakh ,3.8,3.2,4.3,3.6,4.0,3.6,71
96,16,Crescent School of Life Sciences (B.S.Abdur Rahman University),102, ₹ 1.50 Lakh,,4.6,4.2,4.6,4.7,4.7,4.5,31
97,17,"GITAM School of Technology, Visakhapatnam",102, ₹ 9.78 Lakh, ₹ 3.96 Lakh ,4.0,3.9,4.4,3.9,4.3,3.6,605
98,18,Coimbatore Institute of Technology,104, ₹ 1.01 Lakh, ₹ 4.50 Lakh ,4.0,4.1,3.4,4.1,4.2,4.3,108
99,19,Manav Rachna International Institute of Research & Studies,105, ₹ 6.46 Lakh, ₹ 4.25 Lakh ,3.9,3.4,4.4,4.0,4.0,3.6,345
100,20,Karunya Institute of Technology and Sciences,107, ₹ 8.24 Lakh, ₹ 2.80 Lakh ,4.0,3.7,4.4,3.9,4.1,3.7,285
101,21,Kumaraguru College of Technology,108, ₹ 2.00 Lakh, ₹ 4.00 Lakh ,4.2,3.9,4.5,4.0,4.6,4.2,111
102,22,NIT Manipur - National Institute of Technology,108, ₹ 5.00 Lakh, ₹ 6.40 Lakh ,3.2,3.1,2.8,3.3,3.5,3.5,24
103,23,College of Engineering Trivandrum,110, ₹ 1.13 Lakh, ₹ 5.75 Lakh ,4.5,4.3,4.4,4.1,4.7,4.8,155
104,24,Veer Surendra Sai University of Technology,111, ₹ 1.52 Lakh,,4.0,3.7,3.6,3.9,4.2,4.3,294
105,25,"IIIT Guwahati - Indian Institute of Information Technology, Assam",112, ₹ 10.00 Lakh, ₹ 9.00 Lakh ,4.0,4.1,4.0,4.4,3.8,3.7,32
106,26,VNR Vignana Jyothi Institute of Engineering and Technology,113, ₹ 5.24 Lakh, ₹ 4.01 Lakh ,4.4,4.4,4.4,4.3,4.5,4.3,558
107,27,"Amity University, Gurugram",114, ₹ 14.30 Lakh, ₹ 4.00 Lakh ,4.3,4.0,4.6,4.4,4.4,4.0,409
108,28,"Jain Deemed-to-be University, Bangalore",115,,,3.9,3.9,3.8,4.1,4.1,3.6,371
109,29,"MIT WPU - World Peace University, Pune",116, ₹ 14.00 Lakh, ₹ 4.50 Lakh ,4.0,3.8,4.2,4.0,4.3,3.7,574
110,30,"University College of Engineering, Osmania University",117, ₹ 2.00 Lakh, ₹ 6.60 Lakh ,4.2,4.0,4.1,4.1,4.5,4.5,151
111,31,KEC - Kongu Engineering College,118, ₹ 2.00 Lakh, ₹ 4.00 Lakh ,4.2,4.1,4.4,4.1,4.4,4.2,168
112,32,Veermata Jijabai Technological Institute - VJTI Mumbai,119," ₹ 60,000", ₹ 7.54 Lakh ,4.1,4.5,3.4,3.7,4.3,4.4,195
113,33,Dayalbagh Educational Institute [DEI],120," ₹ 27,840", ₹ 4.40 Lakh ,4.0,3.5,3.6,4.2,3.9,4.6,358
114,34,NHCE Bangalore - New Horizon College of Engineering,121, ₹ 10.00 Lakh, ₹ 6.50 Lakh ,4.1,3.9,4.3,4.0,4.3,3.7,221
115,35,Sri Krishna College of Technology [SKCT],122, ₹ 2.00 Lakh, ₹ 5.30 Lakh ,4.3,4.1,4.5,4.3,4.5,4.1,118
116,36,Tezpur University,123, ₹ 2.16 Lakh, ₹ 4.25 Lakh ,4.1,3.0,4.5,4.1,4.6,4.3,118
117,37,PSG Institute of Technology and Applied Research,124, ₹ 2.00 Lakh, ₹ 5.50 Lakh ,4.3,4.3,4.6,4.2,4.2,4.4,18
118,38,Shoolini University,125, ₹ 9.20 Lakh, ₹ 4.28 Lakh ,4.3,4.1,4.5,4.4,4.5,4.2,492
119,39,NIFTEM - National Institute of Food Technology Entrepreneurship and Management,127, ₹ 6.06 Lakh, ₹ 10.03 Lakh ,4.1,3.9,4.7,3.9,4.0,3.8,62
120,0,NIT Hamirpur - National Institute of Technology,128, ₹ 5.00 Lakh, ₹ 6.50 Lakh ,4.2,3.7,4.5,3.8,4.5,4.2,301
121,1,Mepco Schlenk Engineering College,129, ₹ 2.00 Lakh, ₹ 4.00 Lakh ,3.9,3.6,4.3,3.9,3.7,3.9,59
122,2,"Jawaharlal Nehru Technological University, Kakinada",129, ₹ 1.80 Lakh, ₹ 4.00 Lakh ,3.8,3.5,3.7,3.8,4.0,4.1,438
123,3,"College of Engineering, Bharati Vidyapeeth",131, ₹ 5.00 Lakh, ₹ 3.80 Lakh ,3.8,3.6,3.9,3.7,4.2,3.9,235
124,4,NIT Uttarakhand - National Institute of Technology,131, ₹ 5.00 Lakh, ₹ 6.00 Lakh ,3.1,2.8,2.2,3.5,3.3,3.3,56
125,5,"Amity University, Jaipur",133, ₹ 8.72 Lakh, ₹ 3.60 Lakh ,4.0,3.5,4.5,3.9,4.4,3.7,261
